PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,60.5,21.875,-3.28,-4.16,-4.41,3.01,9.74,13.21,15.04,15.44,10.28,7.92,2.72,-0.36,5.43
TS,1984,60.5,22.5,-5.14,-5.64,-5.33,3.82,11.45,13.71,15.16,15.03,9.67,7.21,0.95,-2.49,4.87
TS,1984,60.5,23.125,-6.06,-6.57,-5.84,3.88,12.1,13.91,15.22,14.79,9.48,6.74,0.07,-3.84,4.49
TS,1984,60.5,23.75,-6.34,-7.24,-6.12,3.54,11.92,13.83,15.27,14.69,9.42,6.52,-0.2,-4.7,4.22
TS,1984,60.5,24.375,-6.33,-7.49,-6.09,3.53,11.83,13.57,15.17,14.4,9.3,6.38,-0.56,-5.21,4.04
TS,1984,60.5,25,-5.62,-7.27,-5.9,3.34,11.11,13.38,15.11,14.9,9.63,6.91,0.33,-4.33,4.3
TS,1984,60.5,25.625,-5.39,-7.22,-5.81,3.43,11.08,13.5,15.23,15.21,9.84,7.06,0.45,-4.29,4.42
TS,1984,60.5,26.25,-4.53,-6.7,-5.47,2.71,9.74,12.95,15.25,15.81,10.48,7.73,1.69,-2.85,4.73
TS,1984,60.5,26.875,-3.9,-6.4,-5.19,2.23,8.8,12.57,15.26,16.27,10.93,8.24,2.64,-1.74,4.98
TS,1984,60.5,27.5,-4.49,-7.1,-5.54,1.92,8.79,12.27,15.48,16.09,11.17,8.08,2.18,-2.44,4.7
TS,1984,60.5,28.125,-4.96,-7.37,-5.66,1.53,8.42,12.07,15.76,16.12,11.56,8.09,2.03,-2.72,4.57
TS,1984,60.5,28.75,-6.29,-8.35,-6.09,1.83,9.52,12.62,15.82,15.56,11.15,7.19,0.07,-5.38,3.97
TS,1984,60.5,29.375,-7.31,-9.19,-6.34,2.54,11.13,13.39,15.87,15.03,10.52,6.31,-1.87,-7.75,3.53
TS,1984,61,21.875,-4.27,-4.83,-5.14,3.16,10.31,13.09,15.14,15.08,9.9,7.28,1.67,-1.59,4.98
TS,1984,61,22.5,-6.31,-6.33,-5.85,3.76,11.82,13.67,15.25,14.56,9.23,6.39,-0.07,-3.86,4.36
TS,1984,61,23.125,-7.17,-7.31,-6.32,3.59,12.29,13.87,15.39,14.41,9.12,5.97,-0.79,-5.15,3.99
TS,1984,61,23.75,-7.6,-7.93,-6.56,3.62,12.74,14.22,15.78,14.65,9.32,5.86,-1.2,-6.02,3.91
TS,1984,61,24.375,-7.57,-7.98,-6.44,3.76,12.89,14.25,15.9,14.71,9.41,5.81,-1.43,-6.38,3.91
