PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,58,10,3.84,2.82,1.8,3.82,10.5,14.24,15.82,16.65,13.8,11.4,9.25,6.41,9.2
TS,1984,58,10.625,3.28,2.22,1.29,3.9,10.71,14.29,15.82,16.76,13.82,11.44,8.83,6.13,9.04
TS,1984,58,11.25,1.51,0.73,0.65,4.37,11.19,14.41,16.12,17.1,13,11.07,7.31,4.49,8.5
TS,1984,58,11.875,-1.23,-1.39,-0.14,4.91,11.58,14.24,16.08,16.8,11.35,10.04,5.05,2.02,7.44
TS,1984,58,12.5,-3.5,-3.51,-0.89,5.17,11.59,13.86,15.75,16.12,9.76,8.88,3.23,-0.17,6.36
TS,1984,58,5,5.42,4.85,4.15,4.84,8.08,11.07,11.34,15,13.36,11.42,9.72,7.67,8.91
TS,1984,58,5.625,5.23,4.36,3.75,4.47,7.98,10.95,11.16,15.06,13.62,11.63,9.85,7.46,8.79
TS,1984,58,6.25,4.37,3.35,3,4.3,8.67,11.46,12.26,15.44,13.47,11.52,9.29,6.78,8.66
TS,1984,58,6.875,3.34,2.24,2.19,4.23,9.6,12.37,13.94,15.96,13.14,11.27,8.54,5.95,8.56
TS,1984,58,7.5,2.44,1.26,1.44,4.09,9.67,12.92,15.03,16.05,12.54,10.76,7.93,5.21,8.28
TS,1984,58,8.125,2.61,1.39,1.5,4.02,9.93,13.58,15.56,16.28,12.75,10.84,8.18,5.2,8.49
TS,1984,58,8.75,4.02,2.6,2.21,3.82,10.13,14.18,15.96,16.72,13.76,11.58,9.31,6.05,9.2
TS,1984,58,9.375,4.11,2.96,2.21,3.79,10.24,14.07,15.76,16.59,13.79,11.49,9.47,6.43,9.24
TS,1984,58.5,10,3.52,1.86,1.26,3.42,10.87,14.59,16.16,17.13,14.12,11.5,9.28,6.07,9.15
TS,1984,58.5,10.625,2.47,0.92,0.64,3.48,10.96,14.47,16.07,17.13,13.7,11.3,8.36,5.41,8.74
TS,1984,58.5,11.25,-0.02,-0.76,-0.11,4.01,11.33,14.38,16.04,16.89,12.32,10.46,6.26,3.44,7.85
TS,1984,58.5,11.875,-3.58,-3.22,-1.11,4.79,11.84,14.38,16.1,16.5,10.38,9.08,3.45,0.43,6.59
TS,1984,58.5,12.5,-5.13,-4.32,-1.11,5.57,12.91,15.37,17.14,17.36,10.49,8.65,2.62,-1.21,6.53
TS,1984,58.5,5,4.8,4.27,3.25,4.71,8.26,11.16,11.5,14.94,13.29,11.38,9.16,7.17,8.66
TS,1984,58.5,5.625,1.84,1.84,1.54,4.28,8.76,11.33,11.82,14.52,11.98,10.14,7.39,5.23,7.56
TS,1984,58.5,6.25,-2.53,-1.57,-0.95,3.77,9.39,11.56,12.49,13.77,9.71,8.05,4.56,2.3,5.88
TS,1984,58.5,6.875,-5.15,-3.89,-3.45,3.36,9.46,11.79,13.26,13.48,8.08,6.55,2.53,0.1,4.68
TS,1984,58.5,7.5,-5.34,-4.33,-3.69,3.11,9.62,12.18,13.8,13.78,7.98,6.45,2.32,-0.21,4.64
TS,1984,58.5,8.125,-4.3,-3.68,-2.79,3.52,10.25,13.11,14.73,14.69,8.87,7.26,3.2,0.46,5.44
TS,1984,58.5,8.75,-0.35,-0.57,-0.35,3.7,10.7,14.17,15.76,16.11,11.56,9.59,6.25,3.08,7.47
TS,1984,58.5,9.375,1.9,1.07,0.88,3.82,10.99,14.61,16.17,16.82,13.06,10.81,8.03,4.79,8.58
TS,1984,59,10,-1.29,-1.48,-0.48,3.8,11.24,14.47,16.21,16.65,12.12,9.78,5.96,2.74,7.48
TS,1984,59,10.625,-0.16,-0.83,-0.09,3.64,11.17,14.37,16.11,16.86,12.67,10.41,6.57,3.59,7.86
TS,1984,59,11.25,-2.93,-2.63,-1.08,4.1,11.61,14.33,16.03,16.48,11.03,9.28,4.31,1.48,6.83
TS,1984,59,11.875,-5.25,-4.34,-2.01,4.63,12.15,14.64,16.35,16.47,10.07,8.37,2.61,-0.56,6.09
TS,1984,59,12.5,-6.48,-5.3,-2.46,5.3,12.98,15.42,17.24,17.12,10.13,8.05,1.79,-1.96,5.99
TS,1984,59,5,4.15,3.92,2.9,4.71,8.45,11.45,12.03,14.79,12.94,11.11,8.57,6.82,8.49
TS,1984,59,5.625,1.06,1.3,0.8,3.97,9.12,11.86,12.51,14.69,11.83,9.88,6.6,4.66,7.36
TS,1984,59,6.25,-6.47,-4.72,-4.43,0.31,8.61,11.74,13.02,13.59,8.37,6.13,1.69,-0.79,3.92
TS,1984,59,6.875,-9.31,-7.13,-6.84,-1.35,7.55,10.65,12.42,12.36,6.33,4.12,-0.68,-3.17,2.08
TS,1984,59,7.5,-9.31,-7.23,-7.02,-0.93,7.08,9.65,11.71,11.55,5.55,3.61,-1.18,-3.49,1.67
TS,1984,59,8.125,-8.61,-6.72,-5.88,1.15,8.67,11.53,13.51,13.2,6.77,4.79,-0.24,-3.02,2.93
TS,1984,59,8.75,-6.71,-5.21,-3.89,2.85,10.13,13.17,15.02,14.76,8.51,6.45,1.57,-1.58,4.59
TS,1984,59,9.375,-4.4,-3.31,-1.5,4.34,11.53,14.51,16.23,16.06,10.27,8.24,3.72,0.37,6.34
TS,1984,59.5,10,-7.89,-5.86,-4,2.88,10.48,13.15,15.05,14.73,8.24,6.39,0.55,-2.08,4.3
TS,1984,59.5,10.625,-5.74,-4.44,-2.35,3.85,11.16,13.99,15.71,15.64,9.63,7.78,2.38,-0.36,5.6
TS,1984,59.5,11.25,-6.28,-4.85,-2.74,4.05,11.49,14.17,15.76,15.71,9.44,7.69,2.03,-0.85,5.47
TS,1984,59.5,11.875,-7.47,-5.79,-3.71,3.87,11.63,14.08,15.65,15.48,8.84,7.19,1.03,-1.98,4.9
TS,1984,59.5,12.5,-7.35,-5.94,-3.9,4.3,12.14,14.6,16.23,15.95,9.25,7.29,1.03,-2.4,5.1
TS,1984,59.5,5,3.12,3.26,2.61,4.72,8.55,11.69,12.34,14.7,12.4,10.59,7.97,6.27,8.19
TS,1984,59.5,5.625,-1.79,-0.58,0.1,4.54,9.92,12.31,13.17,14.34,10.57,8.71,5,3.03,6.61
TS,1984,59.5,6.25,-7.52,-5.32,-4.57,1.22,6.79,11.08,12.47,12.62,7.58,5.45,0.65,-1.75,3.22
TS,1984,59.5,6.875,-11.76,-9.03,-8.98,-2.53,2.18,8.98,10.95,10.55,4.85,2.46,-3.19,-5.87,-0.12
TS,1984,59.5,7.5,-11.97,-9.19,-8.86,-2.1,5.08,9.04,11.23,10.81,4.65,2.3,-3.37,-5.92,0.14
TS,1984,59.5,8.125,-11.63,-8.91,-8.01,-0.9,7.35,10.24,12.42,11.94,5.29,2.86,-2.97,-5.8,0.99
TS,1984,59.5,8.75,-10.51,-7.99,-6.47,1.07,8.44,11.45,13.56,13.06,6.3,4.01,-1.85,-5.29,2.15
TS,1984,59.5,9.375,-9.21,-6.87,-5.13,2.12,9.56,12.36,14.37,13.92,7.27,5.23,-0.62,-3.71,3.27
TS,1984,60,10,-10.16,-7.5,-5.2,2.62,9.79,12.59,14.61,14.05,7.38,4.91,-1.52,-4.72,3.07
TS,1984,60,10.625,-9.22,-6.78,-4.67,3.27,10.5,13.28,15.07,14.66,8.04,5.78,-0.56,-3.66,3.81
TS,1984,60,11.25,-8.62,-6.21,-4.58,3.46,10.74,13.47,14.99,14.81,8.3,6.38,0.2,-2.73,4.18
TS,1984,60,11.875,-8.78,-6.44,-4.86,3.26,10.76,13.33,14.93,14.63,8.1,6.25,-0.11,-3.2,3.99
TS,1984,60,12.5,-8.66,-6.48,-5.02,3.2,10.78,13.24,14.95,14.53,8.01,6.16,-0.21,-3.52,3.92
TS,1984,60,5,2.39,3.05,2.39,4.89,8.92,11.83,12.53,14.47,12,10.29,7.46,5.87,8.01
TS,1984,60,5.625,-3.44,-1.47,-1.55,2.65,8.09,11.32,12.3,13.24,9.4,7.63,3.79,1.65,5.3
TS,1984,60,6.25,-9.45,-6.31,-6.33,-0.77,5.27,9.67,11.14,11.22,6.22,4.29,-0.4,-3.11,1.79
TS,1984,60,6.875,-13.02,-9.54,-9.88,-3.22,0.31,6.49,8.81,8.55,3.29,0.83,-4.33,-6.54,-1.52
TS,1984,60,7.5,-14.46,-10.84,-10.81,-3.64,1.62,6.99,9.48,8.97,2.89,-0.1,-5.84,-8.05,-1.98
TS,1984,60,8.125,-14.77,-11.03,-10.32,-3.04,6.35,9.34,11.67,11.05,3.81,0.48,-5.99,-8.44,-0.91
TS,1984,60,8.75,-13.09,-9.65,-8.39,-0.92,7.26,10.1,12.33,11.82,4.9,2.04,-4.37,-7.5,0.38
TS,1984,60,9.375,-11.48,-8.37,-6.59,0.98,8.23,11.06,13.17,12.71,6.08,3.58,-2.81,-6.33,1.69
TS,1984,60.5,10,-12.74,-9.18,-6.92,0.88,8.51,11.2,13.2,12.8,6.08,3.04,-3.71,-7.92,1.27
TS,1984,60.5,10.625,-11.79,-8.2,-6.14,1.97,9.81,12.47,14.36,13.93,7.15,4.32,-2.93,-7.29,2.3
TS,1984,60.5,11.25,-11.15,-7.63,-5.71,2.53,10.16,12.76,14.42,14.09,7.42,4.96,-1.94,-5.9,2.83
TS,1984,60.5,11.875,-10.66,-7.19,-5.58,2.64,10.18,12.66,14.22,13.96,7.37,5.23,-1.34,-4.99,3.04
TS,1984,60.5,12.5,-10.34,-7.1,-5.83,2.39,9.97,12.33,13.99,13.75,7.12,5.04,-1.34,-5.01,2.91
TS,1984,60.5,5,-0.15,1.52,0.62,4.37,8.91,11.35,12.22,13.51,10.72,9.09,5.83,4.38,6.86
TS,1984,60.5,5.625,-6.4,-3.12,-3.3,2.9,9.1,11.7,12.78,12.89,8.55,6.5,1.88,0.09,4.46
TS,1984,60.5,6.25,-11.2,-7.08,-7.21,-0.48,6.81,11.23,12.73,12.37,6.89,4.16,-1.17,-4.48,1.88
TS,1984,60.5,6.875,-13.89,-9.58,-9.76,-2.59,3.6,9.3,11.23,10.7,4.87,1.63,-3.95,-7.26,-0.48
TS,1984,60.5,7.5,-15.55,-11.34,-11.6,-4.07,-0.22,6.18,8.78,8.24,2.46,-1.02,-6.64,-9.04,-2.82
TS,1984,60.5,8.125,-15.42,-11.1,-10.71,-2.85,3.58,7.64,10.11,9.61,3.12,-0.17,-6.54,-9.01,-1.81
TS,1984,60.5,8.75,-14.6,-10.4,-9.32,-1.23,6.55,9.09,11.21,10.74,4.04,1.02,-5.74,-8.65,-0.61
TS,1984,60.5,9.375,-13.59,-9.82,-7.86,-0.08,7.38,10.03,12.09,11.71,5.07,2.02,-4.54,-8.37,0.34
TS,1984,61,10,-14.46,-10.34,-7.77,-0.48,7.64,10.17,11.98,11.85,5.29,1.88,-4.95,-9.43,0.11
TS,1984,61,10.625,-13.52,-9.34,-6.87,1.07,9.03,11.53,13.2,13.03,6.35,3.18,-3.9,-8.77,1.25
TS,1984,61,11.25,-12.73,-8.55,-6.45,1.9,9.77,12.2,13.8,13.6,6.85,3.96,-3.2,-8.09,1.92
TS,1984,61,11.875,-12.37,-8.23,-6.7,1.47,9.41,11.68,13.26,13.11,6.44,3.89,-2.96,-7.31,1.81
TS,1984,61,12.5,-12,-7.96,-6.91,1.33,9.22,11.41,13.02,12.88,6.21,3.83,-2.81,-6.85,1.78
TS,1984,61,5,-0.23,1.49,0.46,3.63,7.81,10.62,11.77,12.96,10.25,8.7,5.51,4.1,6.42
TS,1984,61,5.625,-7.42,-3.92,-4.71,0.78,6.4,10.21,11.56,11.52,7.36,5.44,1.03,-0.88,3.11
TS,1984,61,6.25,-11.5,-7.01,-7.52,-1.08,5.01,9.85,11.42,11.05,6.11,3.66,-1.68,-4.51,1.15
TS,1984,61,6.875,-14.58,-9.27,-9.39,-2.01,3.89,9.29,11.19,10.69,5.22,2.24,-4.01,-7.44,-0.35
TS,1984,61,7.5,-16.2,-11.1,-11.26,-3.61,0.33,6.3,9.21,8.73,2.99,-0.36,-6.76,-9.29,-2.58
TS,1984,61,8.125,-16.67,-11.74,-11.54,-3.63,0.76,5.99,8.85,8.41,2.38,-1.19,-7.92,-10.08,-3.03
TS,1984,61,8.75,-15.96,-11.1,-10.15,-1.9,5.06,8.15,10.16,9.78,3.48,0.07,-7.29,-9.74,-1.62
TS,1984,61,9.375,-15.32,-10.78,-8.99,-1.1,6.84,9.36,11.19,10.92,4.43,0.96,-6.34,-9.63,-0.71
TS,1984,61.5,10,-16.41,-11,-9.38,-1.79,6.38,8.55,10.17,10.09,3.92,0.67,-7.33,-10.31,-1.37
TS,1984,61.5,10.625,-15.72,-10.42,-8.89,-2.06,6.69,8.87,10.53,10.59,4.27,1.16,-6.53,-9.88,-0.95
TS,1984,61.5,11.25,-14.48,-9.58,-8.26,-0.74,7.72,9.83,11.47,11.41,4.94,2,-5.51,-9.28,-0.04
TS,1984,61.5,11.875,-13.63,-8.95,-7.9,-0.16,8.19,10.21,11.85,11.72,5.19,2.43,-4.79,-8.61,0.46
TS,1984,61.5,12.5,-13.06,-8.47,-7.67,0.26,8.35,10.24,11.86,11.71,5.2,2.65,-4.23,-7.89,0.75
TS,1984,61.5,5,-0.04,1.8,1.7,4.63,8.67,11,12.48,13.22,10.37,8.62,5.15,4.3,6.82
TS,1984,61.5,5.625,-7.57,-3.71,-3.95,1.14,5.2,10.53,11.97,11.97,7.82,5.18,-0.13,-1.71,3.06
TS,1984,61.5,6.25,-14.07,-8.46,-8.87,-1.8,1.81,9.88,11.29,10.77,5.64,2.15,-4.84,-7.08,-0.3
TS,1984,61.5,6.875,-16.42,-10.4,-10.91,-2.76,0.45,8.12,9.78,9.09,4.06,0.71,-6.48,-8.93,-1.97
TS,1984,61.5,7.5,-17.64,-11.74,-12.13,-3.74,0.04,6.23,8.48,7.84,2.67,-0.91,-8.04,-10.14,-3.26
TS,1984,61.5,8.125,-18.33,-12.57,-12.5,-4.43,0.91,6.17,8.13,7.61,2,-2.3,-9.68,-11.11,-3.84
TS,1984,61.5,8.75,-17.88,-12.21,-11.45,-3.16,3.61,7.22,8.95,8.54,2.65,-1.4,-9.32,-11.04,-2.96
TS,1984,61.5,9.375,-17.04,-11.51,-10.03,-1.28,6.24,8.39,9.97,9.69,3.59,0.15,-8.27,-10.67,-1.73
TS,1984,62,10,-17.88,-11.39,-10.63,-2.86,5.63,7.7,9.49,9.34,3.14,-0.66,-8.72,-10.79,-2.3
TS,1984,62,10.625,-16.66,-10.46,-9.51,-1.28,6.53,8.27,9.9,9.88,3.76,0.52,-7.42,-9.98,-1.37
TS,1984,62,11.25,-15.48,-9.67,-8.8,-0.81,7.14,8.74,10.34,10.34,4.18,1.26,-6.45,-9.31,-0.71
