PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,59,11.875,-5.25,-4.34,-2.01,4.63,12.15,14.64,16.35,16.47,10.07,8.37,2.61,-0.56,6.09
TS,1984,59,12.5,-6.48,-5.3,-2.46,5.3,12.98,15.42,17.24,17.12,10.13,8.05,1.79,-1.96,5.99
TS,1984,59,13.125,-7.45,-5.96,-1.7,6.66,15.33,17.94,19.67,19.47,11.96,8.36,1.7,-3.41,6.88
TS,1984,59,13.75,-7.18,-5.87,-1.84,6.67,14.96,17.66,19.42,19.25,11.88,8.28,1.7,-3.41,6.79
TS,1984,59,14.375,-5.93,-5.23,-2.72,5.58,12.56,15.25,17.13,16.96,10.3,7.85,1.76,-2.34,5.93
TS,1984,59,15,-5.45,-4.99,-2.76,5.45,12.05,14.81,16.82,16.66,10.13,7.87,1.99,-2.09,5.87
TS,1984,59,15.625,-5.22,-4.85,-2.51,5.57,12.07,14.93,17.15,17.08,10.45,8.04,2.3,-1.98,6.09
TS,1984,59,16.25,-4.77,-4.65,-2.22,5.46,11.9,14.83,17.06,17.1,10.61,8.16,2.48,-1.7,6.19
TS,1984,59,16.875,-3.82,-3.92,-1.68,5.07,11.2,14.47,16.81,17.18,11.01,8.49,3.09,-0.82,6.42
TS,1984,59,17.5,-2.46,-2.98,-1.11,4.57,10.21,13.94,16.46,17.25,11.47,8.86,3.8,0.42,6.7
TS,1984,59,18.125,-0.63,-1.67,-0.4,3.66,8.48,12.98,15.71,17.19,12.18,9.22,4.97,2.12,6.98
TS,1984,59,18.75,1.97,0.25,0.55,2.12,5.76,11.57,14.65,17.02,13.33,9.9,6.87,4.65,7.39
TS,1984,59,19.375,2.36,0.86,0.98,2.11,5.92,11.57,14.63,16.96,13.31,10.14,7.23,5.1,7.6
TS,1984,59,20,2.72,1.37,1.35,2.18,6.16,11.58,14.61,16.97,13.18,10.35,7.54,5.44,7.79
TS,1984,59,20.625,2.96,1.43,0.96,2.25,6.31,11.6,14.72,17.15,12.95,10.59,7.78,5.63,7.86
TS,1984,59.5,11.875,-7.47,-5.79,-3.71,3.87,11.63,14.08,15.65,15.48,8.84,7.19,1.03,-1.98,4.9
TS,1984,59.5,12.5,-7.35,-5.94,-3.9,4.3,12.14,14.6,16.23,15.95,9.25,7.29,1.03,-2.4,5.1
TS,1984,59.5,13.125,-7.3,-6.04,-3.82,4.9,12.81,15.33,16.98,16.61,9.84,7.46,1.12,-2.79,5.43
TS,1984,59.5,13.75,-7.48,-6.08,-3.6,5.29,13.12,15.77,17.48,17.13,10.26,7.49,0.98,-3.24,5.59
