Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1984,1984,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1985,1985,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1986,1986,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1987,1987,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1988,1988,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1989,1989,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1990,1990,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1991,1991,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1992,1992,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1993,1993,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1994,1994,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1995,1995,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1996,1996,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1997,1997,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1998,1998,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",1999,1999,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2000,2000,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2001,2001,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2002,2002,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2003,2003,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2004,2004,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2005,2005,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2006,2006,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2007,2007,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2008,2008,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2009,2009,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2010,2010,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2011,2011,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2012,2012,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2013,2013,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2014,2014,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2015,2015,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2016,2016,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2017,2017,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2018,2018,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2019,2019,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2020,2020,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2021,2021,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2022,2022,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.07,"Abaca, manila hemp, raw",2023,2023,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1984,1984,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1985,1985,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1986,1986,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1987,1987,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1988,1988,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1989,1989,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1990,1990,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1991,1991,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1992,1992,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1993,1993,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1994,1994,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1995,1995,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1996,1996,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1997,1997,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1998,1998,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1999,1999,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2000,2000,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2001,2001,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2002,2002,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2003,2003,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2004,2004,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2005,2005,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2006,2006,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2007,2007,,,,,
QCL,Crops and livestock products,208,Denmark,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2008,2008,,,,,
